domain,count
"100.22.168.192.in-addr.arpa",68
"100.229.168.192.in-addr.arpa",58
"100.23.168.192.in-addr.arpa",202
"100.24.168.192.in-addr.arpa",132
"100.25.168.192.in-addr.arpa",182
"100.26.168.192.in-addr.arpa",28
"100.27.168.192.in-addr.arpa",106
"100.28.168.192.in-addr.arpa",80
"100.3.16.172.in-addr.arpa",2
"100.4.16.172.in-addr.arpa",4
"100.5.16.172.in-addr.arpa",20
"100.7.16.172.in-addr.arpa",2
"101.1.16.172.in-addr.arpa",4
"101.202.168.192.in-addr.arpa",4
"101.21.168.192.in-addr.arpa",40
"101.22.168.192.in-addr.arpa",54
"101.229.168.192.all.spamrats.com",2
"101.229.168.192.bl.nszones.com",2
"101.229.168.192.bl.spamcop.net",2
"101.229.168.192.dnsbl.ahbl.org",4
"101.229.168.192.dnsbl.tornevall.org",2
"101.229.168.192.http.dnsbl.sorbs.net",2
"101.229.168.192.in-addr.arpa",202
"101.229.168.192.l2.apews.org",2
"101.229.168.192.list.quorum.to",2
"101.229.168.192.misc.dnsbl.sorbs.net",2
"101.229.168.192.sbl.spamhaus.org",2
"101.229.168.192.socks.dnsbl.sorbs.net",2
"101.229.168.192.spam.dnsbl.sorbs.net",4
"101.23.168.192.in-addr.arpa",98
"101.24.168.192.in-addr.arpa",54
"101.25.168.192.in-addr.arpa",132
"101.26.168.192.in-addr.arpa",48
"101.27.168.192.in-addr.arpa",102
"101.28.168.192.in-addr.arpa",68
"101.4.16.172.in-addr.arpa",16
"101.5.16.172.in-addr.arpa",4
"102.1.16.172.in-addr.arpa",56
"102.202.168.192.in-addr.arpa",62
"102.21.168.192.all.spamrats.com",4
"102.21.168.192.bl.nszones.com",4
"102.21.168.192.bl.spamcop.net",4
"102.21.168.192.dnsbl.ahbl.org",8
"102.21.168.192.dnsbl.tornevall.org",4
"102.21.168.192.http.dnsbl.sorbs.net",4
"102.21.168.192.in-addr.arpa",102
"102.21.168.192.l2.apews.org",4
"102.21.168.192.list.quorum.to",4
"102.21.168.192.misc.dnsbl.sorbs.net",4
"102.21.168.192.sbl.spamhaus.org",4
"102.21.168.192.socks.dnsbl.sorbs.net",4
"102.21.168.192.spam.dnsbl.sorbs.net",8
"102.22.168.192.in-addr.arpa",104
"102.229.168.192.in-addr.arpa",58
"102.23.168.192.in-addr.arpa",100
"102.24.168.192.in-addr.arpa",60
"102.25.168.192.in-addr.arpa",118
"102.26.168.192.in-addr.arpa",50
"102.27.168.192.in-addr.arpa",76
"102.28.168.192.in-addr.arpa",94
"102.4.16.172.in-addr.arpa",20
"102.5.16.172.in-addr.arpa",8
"102.7.16.172.in-addr.arpa",4
"103.1.16.172.in-addr.arpa",192
"103.202.168.192.in-addr.arpa",16
"103.21.168.192.all.spamrats.com",4
"103.21.168.192.bl.nszones.com",4
"103.21.168.192.bl.spamcop.net",4
"103.21.168.192.dnsbl.ahbl.org",8
"103.21.168.192.dnsbl.tornevall.org",4
"103.21.168.192.http.dnsbl.sorbs.net",4
"103.21.168.192.in-addr.arpa",144
"103.21.168.192.l2.apews.org",4
"103.21.168.192.list.quorum.to",4
"103.21.168.192.misc.dnsbl.sorbs.net",4
"103.21.168.192.sbl.spamhaus.org",4
"103.21.168.192.socks.dnsbl.sorbs.net",4
"103.21.168.192.spam.dnsbl.sorbs.net",8
"103.22.168.192.in-addr.arpa",48
"103.229.168.192.in-addr.arpa",58
"103.23.168.192.in-addr.arpa",136
"103.24.168.192.in-addr.arpa",54
"103.25.168.192.in-addr.arpa",136
"103.26.168.192.in-addr.arpa",40
"103.27.168.192.in-addr.arpa",86
"103.28.168.192.in-addr.arpa",52
"103.4.16.172.in-addr.arpa",70
"103.5.16.172.in-addr.arpa",208
"103.7.16.172.in-addr.arpa",4
"104.21.168.192.in-addr.arpa",20
"104.22.168.192.in-addr.arpa",16
"104.229.168.192.in-addr.arpa",58
"104.23.168.192.in-addr.arpa",14
"104.24.168.192.in-addr.arpa",8
"104.25.168.192.in-addr.arpa",6
"104.26.168.192.in-addr.arpa",6
"104.27.168.192.in-addr.arpa",12
"104.28.168.192.in-addr.arpa",14
"105.21.168.192.in-addr.arpa",22
"105.22.168.192.in-addr.arpa",16
"105.229.168.192.in-addr.arpa",58
"105.23.168.192.in-addr.arpa",14
"105.24.168.192.in-addr.arpa",8
"105.25.168.192.in-addr.arpa",10
"105.26.168.192.in-addr.arpa",6
"105.27.168.192.in-addr.arpa",10
"105.28.168.192.in-addr.arpa",16
"106.202.168.192.in-addr.arpa",438
"106.21.168.192.in-addr.arpa",20
"106.22.168.192.in-addr.arpa",18
"106.229.168.192.in-addr.arpa",58
"106.23.168.192.in-addr.arpa",14
"106.24.168.192.in-addr.arpa",8
"106.25.168.192.in-addr.arpa",6
"106.26.168.192.in-addr.arpa",8
"106.27.168.192.in-addr.arpa",10
"106.28.168.192.in-addr.arpa",14
"106.73.194.173.in-addr.arpa",2
"107.202.168.192.in-addr.arpa",2
"107.21.168.192.in-addr.arpa",20
"107.22.168.192.in-addr.arpa",16
"107.229.168.192.in-addr.arpa",58
"107.23.168.192.in-addr.arpa",16
"107.24.168.192.in-addr.arpa",8
"107.25.168.192.in-addr.arpa",6
"107.26.168.192.in-addr.arpa",6
"107.27.168.192.in-addr.arpa",12
"107.28.168.192.in-addr.arpa",14
"108.202.168.192.in-addr.arpa",2
"108.21.168.192.in-addr.arpa",22
"108.22.168.192.in-addr.arpa",16
"108.229.168.192.in-addr.arpa",58
"108.23.168.192.in-addr.arpa",14
"108.24.168.192.in-addr.arpa",8
"108.25.168.192.in-addr.arpa",6
"108.26.168.192.in-addr.arpa",6
"108.27.168.192.in-addr.arpa",10
"108.28.168.192.in-addr.arpa",16
"109.202.168.192.in-addr.arpa",4
"109.21.168.192.in-addr.arpa",20
"109.22.168.192.in-addr.arpa",18
"109.229.168.192.in-addr.arpa",58
"109.23.168.192.in-addr.arpa",14
"109.24.168.192.in-addr.arpa",8
"109.25.168.192.in-addr.arpa",6
"109.26.168.192.in-addr.arpa",6
"109.27.168.192.in-addr.arpa",10
"109.28.168.192.in-addr.arpa",14
"11-courier.push.apple.com",76
"11.1.16.172.in-addr.arpa",4
"11.21.168.192.in-addr.arpa",24
"11.22.168.192.in-addr.arpa",16
"11.229.168.192.in-addr.arpa",58
"11.23.168.192.in-addr.arpa",22
"11.24.168.192.in-addr.arpa",8
"11.25.168.192.in-addr.arpa",10
"11.26.168.192.in-addr.arpa",6
"11.27.168.192.in-addr.arpa",12
"11.28.168.192.in-addr.arpa",16
"110.202.168.192.in-addr.arpa",730
"110.21.168.192.in-addr.arpa",20
"110.22.168.192.in-addr.arpa",16
"110.229.168.192.in-addr.arpa",58
"110.23.168.192.in-addr.arpa",16
"110.24.168.192.in-addr.arpa",8
"110.25.168.192.in-addr.arpa",6
"110.26.168.192.in-addr.arpa",6
"110.27.168.192.in-addr.arpa",12
"110.28.168.192.in-addr.arpa",14
"111.21.168.192.in-addr.arpa",22
"111.22.168.192.in-addr.arpa",16
"111.229.168.192.in-addr.arpa",58
"111.23.168.192.in-addr.arpa",14
"111.24.168.192.in-addr.arpa",10
"111.25.168.192.in-addr.arpa",6
"111.26.168.192.in-addr.arpa",6
"111.27.168.192.in-addr.arpa",10
"111.28.168.192.in-addr.arpa",16
"112.202.168.192.in-addr.arpa",126
"112.21.168.192.in-addr.arpa",20
"112.22.168.192.in-addr.arpa",18
"112.229.168.192.in-addr.arpa",58
"112.23.168.192.in-addr.arpa",14
"112.24.168.192.in-addr.arpa",8
"112.25.168.192.in-addr.arpa",8
"112.26.168.192.in-addr.arpa",6
"112.27.168.192.in-addr.arpa",10
"112.28.168.192.in-addr.arpa",14
"113.202.168.192.in-addr.arpa",16
"113.21.168.192.in-addr.arpa",20
"113.22.168.192.in-addr.arpa",16
"113.229.168.192.in-addr.arpa",58
"113.23.168.192.in-addr.arpa",16
"113.24.168.192.in-addr.arpa",8
"113.25.168.192.in-addr.arpa",6
"113.26.168.192.in-addr.arpa",6
"113.27.168.192.in-addr.arpa",10
"113.28.168.192.in-addr.arpa",14
"114.21.168.192.in-addr.arpa",22
"114.22.168.192.in-addr.arpa",16
"114.229.168.192.in-addr.arpa",58
"114.23.168.192.in-addr.arpa",14
"114.24.168.192.in-addr.arpa",10
"114.25.168.192.in-addr.arpa",6
"114.26.168.192.in-addr.arpa",6
"114.27.168.192.in-addr.arpa",10
"114.28.168.192.in-addr.arpa",14
"115.202.168.192.in-addr.arpa",4
"115.21.168.192.in-addr.arpa",20
"115.22.168.192.in-addr.arpa",18
"115.229.168.192.in-addr.arpa",58
"115.23.168.192.in-addr.arpa",14
"115.24.168.192.in-addr.arpa",8
"115.25.168.192.in-addr.arpa",8
"115.26.168.192.in-addr.arpa",6
"115.27.168.192.in-addr.arpa",10
"115.28.168.192.in-addr.arpa",14
"116.21.168.192.in-addr.arpa",20
"116.22.168.192.in-addr.arpa",16
"116.229.168.192.in-addr.arpa",58
"116.23.168.192.in-addr.arpa",16
"116.24.168.192.in-addr.arpa",8
"116.25.168.192.in-addr.arpa",6
"116.26.168.192.in-addr.arpa",8
"116.27.168.192.in-addr.arpa",10
"116.28.168.192.in-addr.arpa",14
"117.202.168.192.in-addr.arpa",6
"117.21.168.192.in-addr.arpa",22
"117.22.168.192.in-addr.arpa",16
"117.229.168.192.in-addr.arpa",58
"117.23.168.192.in-addr.arpa",14
"117.24.168.192.in-addr.arpa",10
"117.25.168.192.in-addr.arpa",6
"117.26.168.192.in-addr.arpa",6
"117.27.168.192.in-addr.arpa",10
"117.28.168.192.in-addr.arpa",14
"118.202.168.192.in-addr.arpa",590
"118.21.168.192.in-addr.arpa",20
"118.22.168.192.in-addr.arpa",18
"118.229.168.192.in-addr.arpa",58
"118.23.168.192.in-addr.arpa",14
"118.24.168.192.in-addr.arpa",8
"118.25.168.192.in-addr.arpa",8
"118.26.168.192.in-addr.arpa",6
"118.27.168.192.in-addr.arpa",10
"118.28.168.192.in-addr.arpa",14
"119.202.168.192.in-addr.arpa",50
"119.21.168.192.in-addr.arpa",20
"119.22.168.192.in-addr.arpa",16
"119.229.168.192.in-addr.arpa",58
"119.23.168.192.in-addr.arpa",16
"119.24.168.192.in-addr.arpa",8
"119.25.168.192.in-addr.arpa",6
"119.26.168.192.in-addr.arpa",8
"119.27.168.192.in-addr.arpa",10
"119.28.168.192.in-addr.arpa",14
"12-courier.push.apple.com",16
"12.1.16.172.in-addr.arpa",4
"12.202.168.192.in-addr.arpa",2
"12.21.168.192.in-addr.arpa",22
"12.22.168.192.in-addr.arpa",18
"12.229.168.192.in-addr.arpa",58
"12.23.168.192.in-addr.arpa",22
"12.24.168.192.in-addr.arpa",8
"12.25.168.192.in-addr.arpa",6
"12.26.168.192.in-addr.arpa",10
"12.27.168.192.in-addr.arpa",10
"12.28.168.192.in-addr.arpa",14
"12.4.33.192.in-addr.arpa",8
"120.202.168.192.in-addr.arpa",44
"120.204.14.72.in-addr.arpa",2
"120.21.168.192.in-addr.arpa",20
"120.22.168.192.in-addr.arpa",16
"120.229.168.192.in-addr.arpa",58
"120.23.168.192.in-addr.arpa",14
"120.24.168.192.in-addr.arpa",10
"120.25.168.192.in-addr.arpa",6
"120.26.168.192.in-addr.arpa",6
"120.27.168.192.in-addr.arpa",12
"120.28.168.192.in-addr.arpa",14
"121.202.168.192.in-addr.arpa",6
"121.21.168.192.in-addr.arpa",20
"121.22.168.192.in-addr.arpa",18
"121.229.168.192.in-addr.arpa",58
"121.23.168.192.in-addr.arpa",14
"121.24.168.192.in-addr.arpa",8
"121.25.168.192.in-addr.arpa",8
